127.0.0.1 - - [13/Feb/2026 17:48:20] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:50] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:50] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:50] "GET /resources.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:51] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:51] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:51] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:48:51] "GET /submit-resource.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /resources.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 17:49:19] "GET /submit-resource.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:42] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:42] "GET /resources.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:42] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:42] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:43] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:43] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Feb/2026 18:32:43] "GET /submit-resource.html HTTP/1.1" 200 -
